,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal_raw,signal_norm,signal_scaled,signal_smooth,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2024-12-31 19:20:00,189.99,190.02,189.79,189.83,47704.0,189.8869,189.7731,189.99,190.02,189.79,189.83,47704.0,189.8869,189.7731,0.3917548889108495,0.4447272696301368,0.31969256816717095,0.26222730234024544,0,1,-191.322,-1.548,Hold,0,-1.548,-1.954,0.4059999999999999
2024-12-31 19:21:00,189.8,189.83,189.67,189.7,35677.0,189.7569,189.6431,189.8,189.83,189.67,189.7,35677.0,189.7569,189.6431,0.48351403144616006,0.5488939158634089,0.3945728485677215,0.2644466697550226,0,1,-191.322,-1.678,Hold,0,-1.678,-2.084,0.40600000000000014
2024-12-31 19:22:00,189.72,189.75,189.66,189.68,22408.0,189.7369,189.6231,189.72,189.75,189.66,189.68,22408.0,189.7369,189.6231,0.499821588632144,0.5674065511538655,0.4078806718646162,0.2693522138949744,0,1,-191.322,-1.698,Hold,0,-1.698,-2.104,0.40600000000000014
2024-12-31 19:23:00,189.71,189.98,189.67,189.82,38234.0,189.8769,189.7631,189.71,189.98,189.67,189.82,38234.0,189.8769,189.7631,0.4046522691212067,0.4593686100414347,0.3302175079159531,0.272555632408836,0,1,-191.322,-1.558,Hold,0,-1.558,-1.964,0.4059999999999999
2024-12-31 19:24:00,189.81,189.8678,189.72,189.79,29349.0,189.8469,189.7331,189.81,189.8678,189.72,189.79,29349.0,189.8469,189.7331,0.4277158003572388,0.48555074985632307,0.3490385609278245,0.27851641591991316,0,1,-191.322,-1.588,Hold,0,-1.588,-1.994,0.4059999999999999
2024-12-31 19:25:00,189.82,189.87,189.77,189.835,26404.0,189.892,189.778,189.82,189.87,189.77,189.835,26404.0,189.892,189.778,0.3981487706910715,0.45198572042921065,0.32491031156932576,0.28491459246242606,0,1,-191.322,-1.543,Hold,0,-1.543,-1.95,0.40700000000000003
2024-12-31 19:26:00,189.835,189.96,189.8203,189.9,27325.0,189.957,189.843,189.835,189.96,189.8203,189.9,27325.0,189.957,189.843,0.3541101767339,0.40199230821328785,0.28897250556062193,0.2963523381505587,0,1,-191.322,-1.478,Hold,0,-1.478,-1.885,0.40700000000000003
2024-12-31 19:27:00,189.89,190.0,189.84,189.85,20202.0,189.907,189.793,189.89,190.0,189.84,189.85,20202.0,189.907,189.793,0.3914736775194434,0.4444080333478874,0.31946308489979824,0.30927428309154975,0,1,-191.322,-1.528,Hold,0,-1.528,-1.934,0.4059999999999999
2024-12-31 19:28:00,189.88,189.89,189.78,189.82,31171.0,189.8769,189.7631,189.88,189.89,189.78,189.82,31171.0,189.8769,189.7631,0.4148960900844937,0.47099758176977297,0.338577003928122,0.3251707772738999,0,1,-191.322,-1.558,Hold,0,-1.558,-1.964,0.4059999999999999
2024-12-31 19:29:00,189.79,189.81,189.65,189.65,31070.0,189.7069,189.5931,189.79,189.81,189.65,189.65,31070.0,189.7069,189.5931,0.5391928000739447,0.6121014659135059,0.44000964856398866,0.3390933802066992,0,1,-191.322,-1.728,Hold,0,-1.728,-2.134,0.4059999999999999
